"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","AndNor","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:11 AEST 2025","","BasicsTypeScript\TS02_Andor.spec.ts","",""
"","1357","Simple TODO test on SauceLabs","","Sun Jul 20 11:11:41 AEST 2025","passed","Sun Jul 20 11:11:42 AEST 2025","","BasicsTypeScript\TS14_UsingBaseUrl.spec.ts","",""
"","11215","click and verify all radio buttons with name radio1","","Sun Jul 20 11:11:32 AEST 2025","passed","Sun Jul 20 11:11:44 AEST 2025","Radio Button Tests","BasicsTypeScript\TS11_ClickOnRadioButton.spec.ts","",""
"","4377","Login with Tuples","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:16 AEST 2025","","BasicsTypeScript\TS06_TupleUsage.spec.ts","",""
"","6955","Close cookie banner on W3Schools","","Sun Jul 20 11:11:44 AEST 2025","passed","Sun Jul 20 11:11:51 AEST 2025","","BasicsTypeScript\TS16_close-popup.test.ts","",""
"","1640","login test for user: standard_user","","Sun Jul 20 11:12:06 AEST 2025","passed","Sun Jul 20 11:12:08 AEST 2025","","DDT\DDT01_TestDataPutInArray.spec.ts","",""
"","3266","Login with username: problem_user","","Sun Jul 20 11:12:16 AEST 2025","passed","Sun Jul 20 11:12:20 AEST 2025","Sauce Demo Login - DDT using JSON","DDT\DDT02_GetDataFromJsonFile.spec.ts","",""
"","1728","login test for user: locked_out_user","","Sun Jul 20 11:12:08 AEST 2025","passed","Sun Jul 20 11:12:10 AEST 2025","","DDT\DDT01_TestDataPutInArray.spec.ts","",""
"","1896","test","","Sun Jul 20 11:12:18 AEST 2025","passed","Sun Jul 20 11:12:20 AEST 2025","","test-2.spec.ts","",""
"","400","GET users page 2 from reqres with Accept header","","Sun Jul 20 11:12:00 AEST 2025","passed","Sun Jul 20 11:12:00 AEST 2025","","BasicsTypeScript\TS20_GetCall.spec.ts","",""
"","8195","Language selector should contain English","","Sun Jul 20 11:12:01 AEST 2025","passed","Sun Jul 20 11:12:09 AEST 2025","","BasicsTypeScript\TS19_hooksUsage.spec.ts","",""
"","2082","Valid login should succeed","","Sun Jul 20 11:11:58 AEST 2025","passed","Sun Jul 20 11:12:00 AEST 2025","","BasicsTypeScript\TS19_ReadEnvFile.spec.ts","",""
"","1","TupleUsage","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:11 AEST 2025","","BasicsTypeScript\TS06_TupleUsage.spec.ts","",""
"","2043","Scroll to last product on SauceDemo","","Sun Jul 20 11:11:42 AEST 2025","passed","Sun Jul 20 11:11:44 AEST 2025","","BasicsTypeScript\TS15_ScrollToView.spec.ts","",""
"","3570","Search input should be visible on the homepage","","Sun Jul 20 11:11:57 AEST 2025","passed","Sun Jul 20 11:12:01 AEST 2025","","BasicsTypeScript\TS19_hooksUsage.spec.ts","",""
"","5055","Nav to GoodGuys login","","Sun Jul 20 11:11:52 AEST 2025","passed","Sun Jul 20 11:11:57 AEST 2025","","BasicsTypeScript\TS18_SkipSpecificTest.spec.ts","",""
"","1824","Login with username: locked_out_user","","Sun Jul 20 11:12:15 AEST 2025","passed","Sun Jul 20 11:12:16 AEST 2025","Sauce Demo Login - DDT using JSON","DDT\DDT02_GetDataFromJsonFile.spec.ts","",""
"","4373","Wikipedia homepage should have the correct title","","Sun Jul 20 11:11:52 AEST 2025","passed","Sun Jul 20 11:11:57 AEST 2025","","BasicsTypeScript\TS19_hooksUsage.spec.ts","",""
"","902","Create a new post via POST /posts","","Sun Jul 20 11:12:00 AEST 2025","passed","Sun Jul 20 11:12:01 AEST 2025","","BasicsTypeScript\TS21_Postcall.spec.ts","",""
"","4785","has title","","Sun Jul 20 11:11:16 AEST 2025","passed","Sun Jul 20 11:11:21 AEST 2025","","BasicsTypeScript\TS07_Iframe.spec.ts","",""
"","13826","NavigateToWebsite","","Sun Jul 20 11:11:21 AEST 2025","passed","Sun Jul 20 11:11:35 AEST 2025","","BasicsTypeScript\TS08_navigate.spec.ts","",""
"","1623","Dropdown Select Test","","Sun Jul 20 11:11:30 AEST 2025","passed","Sun Jul 20 11:11:32 AEST 2025","","BasicsTypeScript\TS10_DropdownSelect.spec.ts","",""
"","1929","login test for user: problem_user","","Sun Jul 20 11:12:10 AEST 2025","passed","Sun Jul 20 11:12:12 AEST 2025","","DDT\DDT01_TestDataPutInArray.spec.ts","",""
"","346","Create post test case #2","","Sun Jul 20 11:12:02 AEST 2025","passed","Sun Jul 20 11:12:03 AEST 2025","POST /posts API tests with multiple data sets","BasicsTypeScript\TS22_PostCallDDT.spec.ts","",""
"","1978","Login test for user: problem_user","","Sun Jul 20 11:12:13 AEST 2025","passed","Sun Jul 20 11:12:15 AEST 2025","DDT Login Tests - SauceDemo","DDT\Excellogin.spec.ts","",""
"","864","Create multiple posts using for...of loop","","Sun Jul 20 11:12:05 AEST 2025","passed","Sun Jul 20 11:12:06 AEST 2025","","BasicsTypeScript\TS22_PostCallDDT.spec.ts","",""
"","3","Variables & Constants","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:11 AEST 2025","","BasicsTypeScript\TS01_LetConst.spec.ts","",""
"","1790","Valid login should succeed","","Sun Jul 20 11:11:35 AEST 2025","passed","Sun Jul 20 11:11:37 AEST 2025","Login Tests","BasicsTypeScript\TS12_TagUsage.spec.ts","",""
"","785","Create post test case #1","","Sun Jul 20 11:12:01 AEST 2025","passed","Sun Jul 20 11:12:02 AEST 2025","POST /posts API tests with multiple data sets","BasicsTypeScript\TS22_PostCallDDT.spec.ts","",""
"","2403","has title","","Sun Jul 20 11:12:12 AEST 2025","passed","Sun Jul 20 11:12:15 AEST 2025","","example.spec.ts","",""
"","3523","Login with username: standard_user","","Sun Jul 20 11:12:10 AEST 2025","passed","Sun Jul 20 11:12:14 AEST 2025","Sauce Demo Login - DDT using JSON","DDT\DDT02_GetDataFromJsonFile.spec.ts","",""
"","54780","test","","Sun Jul 20 11:12:15 AEST 2025","failed","Sun Jul 20 11:13:10 AEST 2025","","test-1.spec.ts","",""
"","91922","navigate to The Good Guys login page","","Sun Jul 20 11:11:11 AEST 2025","broken","Sun Jul 20 11:12:43 AEST 2025","","BasicsTypeScript\copilotUsage.spec.ts","",""
"","2","Nav to GoodGuys","","Sun Jul 20 11:11:52 AEST 2025","skipped","Sun Jul 20 11:11:52 AEST 2025","","BasicsTypeScript\TS18_SkipSpecificTest.spec.ts","",""
"","1235","Create multiple posts using for loop","","Sun Jul 20 11:12:03 AEST 2025","passed","Sun Jul 20 11:12:05 AEST 2025","","BasicsTypeScript\TS22_PostCallDDT.spec.ts","",""
"","763","Create post test case #3","","Sun Jul 20 11:12:03 AEST 2025","passed","Sun Jul 20 11:12:03 AEST 2025","POST /posts API tests with multiple data sets","BasicsTypeScript\TS22_PostCallDDT.spec.ts","",""
"","3","ArrayUsage1","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:11 AEST 2025","","BasicsTypeScript\TS03_arrayLearing.spec.ts","",""
"","9067","Navigate through all Sauce Labs menu items and go back","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:21 AEST 2025","","BasicsTypeScript\TS04_ArrayWebsite.spec.ts","",""
"","6751","GGRegPageDropDown Test","","Sun Jul 20 11:11:22 AEST 2025","failed","Sun Jul 20 11:11:29 AEST 2025","","BasicsTypeScript\TS09_GGRegPageDropDown.spec.ts","",""
"","1","ArrayUsage2","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:11 AEST 2025","","BasicsTypeScript\TS03_arrayLearing.spec.ts","",""
"","24","Use auth token in another API call","","Sun Jul 20 11:12:09 AEST 2025","failed","Sun Jul 20 11:12:09 AEST 2025","","BasicsTypeScript\TS23_PostCallAuthToken.spec.ts","",""
"","21425","Get row and column count from web table","","Sun Jul 20 11:11:44 AEST 2025","passed","Sun Jul 20 11:12:06 AEST 2025","","BasicsTypeScript\TS17_webtables.spec.ts","",""
"","1720","Login test for user: locked_out_user","","Sun Jul 20 11:12:12 AEST 2025","passed","Sun Jul 20 11:12:13 AEST 2025","DDT Login Tests - SauceDemo","DDT\Excellogin.spec.ts","",""
"","285","Authenticate and get token (simulate)","","Sun Jul 20 11:12:06 AEST 2025","failed","Sun Jul 20 11:12:06 AEST 2025","","BasicsTypeScript\TS23_PostCallAuthToken.spec.ts","",""
"","1507","Login with valid credentials should land on Products page","","Sun Jul 20 11:11:39 AEST 2025","passed","Sun Jul 20 11:11:40 AEST 2025","","BasicsTypeScript\TS13_POMcall.spec.ts","",""
"","1986","Login test for user: standard_user","","Sun Jul 20 11:12:09 AEST 2025","passed","Sun Jul 20 11:12:11 AEST 2025","DDT Login Tests - SauceDemo","DDT\Excellogin.spec.ts","",""
"","2534","get started link","","Sun Jul 20 11:12:15 AEST 2025","passed","Sun Jul 20 11:12:17 AEST 2025","","example.spec.ts","",""
"","38289","NavigateNHover","","Sun Jul 20 11:11:11 AEST 2025","passed","Sun Jul 20 11:11:50 AEST 2025","","BasicsTypeScript\TS05_hover.spec.ts","",""
"","1506","Invalid login should fail","","Sun Jul 20 11:11:37 AEST 2025","passed","Sun Jul 20 11:11:39 AEST 2025","Login Tests","BasicsTypeScript\TS12_TagUsage.spec.ts","",""
